city,hotel_name,tier,platform,score,nationality,trip_type,room_type,stay_nights,source_file,agoda_agg_score,booking_agg_score,is_asian_reviewer,is_solo,score_gap,nationality_known
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Couple,Unknown,4,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,Unknown,Family,Unknown,2,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Family,Unknown,3,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Family,Unknown,1,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Couple,Unknown,2,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,Unknown,Couple,Unknown,3,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Family,Unknown,5,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,7.0,Unknown,Family,Unknown,7,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.0,Unknown,Family,Unknown,4,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Couple,Unknown,4,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,Unknown,Family,Unknown,8,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,4.0,Unknown,Family,Unknown,3,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.0,Unknown,Couple,Unknown,7,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Family,Unknown,2,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Family,Unknown,5,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Family,Unknown,3,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,Unknown,Couple,Unknown,2,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,7.0,Unknown,Family,Unknown,3,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Couple,Unknown,5,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Couple,Unknown,1,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Couple,Unknown,1,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Couple,Unknown,2,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Couple,Unknown,5,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,Unknown,Family,Unknown,4,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Family,Unknown,3,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Family,Unknown,1,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,1.0,Unknown,Family,Unknown,1,bali_b,9.1,9.6,,0,-0.5,0
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Unknown,Family,Unknown,2,bali_b,9.1,9.6,,0,-0.5,0
